build_id,snapshot_date,source_rows,reporting_stores,global_gtins,global_gtin_rows,restricted_local_rows,internal_local_rows,invalid_code_rows,invalid_list_price_rows,null_key_rows,general_promotion_rows,segmented_promotion_rows
941da9b2-93b6-40b8-8de8-c9e27ad03e10,2026-07-27,14504541,2698,75705,14064692,410380,28880,589,56,0,719223,475927
941da9b2-93b6-40b8-8de8-c9e27ad03e10,2026-07-28,14178832,2698,75602,13745984,403641,28618,589,56,0,654317,103667
941da9b2-93b6-40b8-8de8-c9e27ad03e10,2026-07-29,14496441,2648,77365,14057927,409540,28385,589,56,0,552119,632345
941da9b2-93b6-40b8-8de8-c9e27ad03e10,2026-07-30,14823531,3030,77958,14384739,409231,28267,1294,56,0,1115093,612013
941da9b2-93b6-40b8-8de8-c9e27ad03e10,2026-07-31,14489621,2702,77139,14050984,410086,27962,589,56,0,1666345,612033
941da9b2-93b6-40b8-8de8-c9e27ad03e10,2026-08-01,10364387,1719,76031,10062108,273693,27997,589,56,0,338493,0
941da9b2-93b6-40b8-8de8-c9e27ad03e10,2026-08-02,14628517,2966,76098,14186987,412868,27305,1357,56,0,709485,600390
