build_id,scope_version,snapshot_date,comercio_a,bandera_a,comercio_b,bandera_b,common_gtins,catalog_a,catalog_b,containment_pct,jaccard_pct,publishable
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,11,2,2,1,4133,26796,8890,46.49043869516311,13.098596013057396,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,13,1,9,3,4084,10461,10983,39.04024471847816,23.525345622119815,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,2,1,9,3,4072,8890,10983,45.80427446569179,25.77052085311056,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,11,2,13,1,4015,26796,10461,38.380651945320714,12.078093977498346,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,10,1,15,1,2451,34303,3887,63.05634165165938,6.8580542264752795,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,12,1,15,1,2329,13306,3887,59.9176742989452,15.668729817007534,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,15,1,2,1,1939,3887,8890,49.88422948289169,17.890754751799225,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,13,1,15,1,1935,10461,3887,49.78132235657319,15.588495931684525,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,15,1,9,3,1803,3887,10983,46.38538718806277,13.798117394964414,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,11,2,15,1,1721,26796,3887,44.275791098533574,5.942269180305227,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,10,1,11,2,8185,34297,26815,30.52396046988626,15.464696657660552,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,10,1,12,1,7715,34297,13334,57.85960701964902,19.328088986872434,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,10,1,9,3,5896,34297,10974,53.72699106980135,14.973968253968254,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,12,1,9,3,5747,13334,10974,52.36923637689083,30.962771402402886,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,11,2,12,1,5713,26815,13334,42.84535773211339,16.590196306191196,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,10,1,2,1,5581,34297,8908,62.651549169286035,14.833616840314694,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,12,1,2,1,5185,13334,8908,58.20610687022901,30.39807703582107,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,10,1,13,1,5159,34297,10459,49.32593938235013,13.028764805414552,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,12,1,13,1,4895,13334,10459,46.8017974949804,25.90221187427241,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,13,1,2,1,4186,10459,8908,46.991468343062415,27.573941110598774,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,11,2,9,3,4181,26815,10974,38.09914342992528,12.440490359438229,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,11,2,2,1,4143,26815,8908,46.50875617422542,13.119062697910069,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,13,1,9,3,4078,10459,10974,38.99034324505211,23.497551138000578,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,2,1,9,3,4072,8908,10974,45.71171980242479,25.755850727387728,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,11,2,13,1,4023,26815,10459,38.46448035185008,12.098884244082885,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,10,1,15,1,2642,34297,4190,63.05489260143198,7.370623517924397,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,12,1,15,1,2517,13334,4190,60.07159904534606,16.772172985939896,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,15,1,2,1,2107,4190,8908,50.28639618138425,19.17023018833591,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,13,1,15,1,2071,10459,4190,49.427207637231504,16.46525679758308,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,15,1,9,3,1932,4190,10974,46.10978520286396,14.600967351874244,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,11,2,15,1,1877,26815,4190,44.79713603818616,6.4439714364185665,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,10,1,11,2,8196,34371,26779,30.606071922028455,15.477584318465082,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,10,1,12,1,7723,34371,13323,57.96742475418449,19.32150809336769,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,10,1,9,3,5913,34371,10978,53.86226999453452,14.99391419008013,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,12,1,9,3,5737,13323,10978,52.25906358170887,30.90390002154708,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,11,2,12,1,5707,26779,13323,42.83569766569091,16.592527983718565,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,10,1,2,1,5596,34371,8916,62.76357110812023,14.847045713830887,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,12,1,2,1,5185,13323,8916,58.153880663974874,30.403424416559165,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,10,1,13,1,5168,34371,10477,49.32709745156056,13.024193548387096,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,12,1,13,1,4888,13323,10477,46.65457669180109,25.846023688663283,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,13,1,2,1,4185,10477,8916,46.93808882907133,27.51841136244082,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,11,2,9,3,4168,26779,10978,37.966842776462016,12.408824317484891,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,11,2,2,1,4144,26779,8916,46.47824136384029,13.134290513771354,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,13,1,9,3,4071,10477,10978,38.85654290350291,23.4180855959503,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,2,1,9,3,4070,8916,10978,45.648272768057424,25.72042467138524,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,11,2,13,1,4011,26779,10477,38.283859883554456,12.064972176267108,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,10,1,15,1,2636,34371,4179,63.077291217994734,7.339756083978393,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,12,1,15,1,2501,13323,4179,59.84685331419,16.672221851876543,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,15,1,2,1,2100,4179,8916,50.25125628140704,19.099590723055936,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,13,1,15,1,2063,10477,4179,49.36587700406796,16.382117049154292,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,15,1,9,3,1919,4179,10978,45.920076573342904,14.496147454298232,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-30,11,2,15,1,1870,26779,4179,44.747547260110075,6.428767876787679,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,10,1,11,2,8156,34392,26381,30.916189681968085,15.500693692152726,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,10,1,12,1,7726,34392,13333,57.94644866121653,19.315482887072175,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,10,1,9,3,5909,34392,10962,53.90439700784528,14.980352389402967,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,12,1,9,3,5731,13333,10962,52.28060572888159,30.871579400991166,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,11,2,12,1,5679,26381,13333,42.59356483912098,16.685764654032614,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,10,1,2,1,5600,34392,8907,62.87189850679241,14.854505424547071,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,12,1,2,1,5188,13333,8907,58.246323116649826,30.42458362655407,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,10,1,13,1,5181,34392,10481,49.43230607766434,13.053008162853976,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,12,1,13,1,4897,13333,10481,46.72264096937315,25.886768515092246,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,13,1,2,1,4177,10481,8907,46.89570001122713,27.460390506870027,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,11,2,9,3,4117,26381,10962,37.55701514322204,12.390898693794016,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,11,2,2,1,4099,26381,8907,46.019984282025376,13.142454070345314,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,13,1,9,3,4070,10481,10962,38.8321725026238,23.427157082829677,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,2,1,9,3,4068,8907,10962,45.671943415291345,25.74520599962028,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,11,2,13,1,3982,26381,10481,37.992557962026524,12.110705596107056,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,10,1,15,1,2639,34392,4183,63.08869232608176,7.3436108637577915,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,12,1,15,1,2505,13333,4183,59.885249820702846,16.687762307641062,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-31,15,1,2,1,2103,4183,8907,50.274922304566104,19.140802766906344,True
