build_id,scope_version,snapshot_date,id_comercio,id_bandera,banner_label,source_rows,reporting_stores,reported_gtins,median_rows_7d,median_stores_7d,row_coverage_ratio,store_coverage_ratio,source_healthy
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,12,1,COTO,998635,120,13302,1003828.0,120.0,0.9948268029981232,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,11,2,Changomas,1422202,53,26834,1419287.0,53.0,1.0020538481646066,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,13,1,Cooperativa Obrera,715285,155,10506,715322.0,155.0,0.9999482750425682,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,15,1,DIA,4045211,983,4200,4008159.0,983.0,1.0092441442567524,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,10,1,Hipermercado Carrefour,1289254,82,34279,1297722.0,82.0,0.9934747195470216,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,9,3,Jumbo,199707,33,10983,199658.0,33.0,1.0002454196676316,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-27,2,1,La Anonima,957873,184,8886,966780.0,184.0,0.9907869422205673,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,12,1,COTO,998377,120,13306,1003828.0,120.0,0.9945697868559156,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,11,2,Changomas,1420188,53,26796,1419287.0,53.0,1.000634825796333,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,13,1,Cooperativa Obrera,715322,155,10461,715322.0,155.0,1.0,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,15,1,DIA,3727489,983,3887,4008159.0,983.0,0.9299753328148909,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,10,1,Hipermercado Carrefour,1290282,82,34303,1297722.0,82.0,0.994266876881181,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,9,3,Jumbo,199334,33,10983,199658.0,33.0,0.9983772250548438,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-28,2,1,La Anonima,959243,184,8890,966780.0,184.0,0.992204017460022,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,12,1,COTO,1002346,120,13334,1003828.0,120.0,0.9985236514622027,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,11,2,Changomas,1421195,53,26815,1419287.0,53.0,1.0013443369804698,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,13,1,Cooperativa Obrera,700250,155,10459,715322.0,155.0,0.9789297686915822,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,15,1,DIA,4032574,983,4190,4008159.0,983.0,1.0060913252193837,1.0,True
941da9b2-93b6-40b8-8de8-c9e27ad03e10,IDX_GROCERY_7_V1,2026-07-29,10,1,Hipermercado Carrefour,1290594,82,34297,1297722.0,82.0,0.9945072981732606,1.0,True
